"Unemployment rate, participation rate and employment rate by educational attainment, annual 1 2"
"Frequency: Annual"
"Table: 14-10-0020-01 (formerly CANSIM 282-0004)"
"Release date: 2024-01-05"
"Geography: Canada, Province or territory"
""
""

,"Geography 3","Canada",,
,"Labour force characteristics","Unemployment rate 5",,
,"Sex","Both sexes",,
,"Age group","15 to 24 years","25 to 44 years","45 years and over"
"Educational attainment 4","Reference period"
,,"Percentage",,
"Total, all education levels","2019","10.7","5.1","4.6"
,"2020","20.1","8.5","7.4"
,"2021","13.5","6.4","6.7"
,"2022","10.1","4.6","4.4"
,"2023","10.8","4.9","4.2"
"0 to 8  years 6","2019","17.5","9.4","7.8"
,"2020","23.8","13.4","11.5"
,"2021","16.1","10.7","10.6"
,"2022","15.0","8.5","8.0"
,"2023","18.6","11.3","7.1"
"Some high school 7","2019","16.8","9.9","7.0"
,"2020","25.5","13.9","10.7"
,"2021","19.7","13.1","9.6"
,"2022","14.9","9.9","7.6"
,"2023","16.8","9.6","6.8"
"High school graduate 8","2019","10.9","7.1","4.8"
,"2020","20.5","11.7","8.5"
,"2021","12.6","9.0","7.9"
,"2022","10.6","6.5","4.9"
,"2023","11.2","7.1","4.4"
"Some postsecondary 9","2019","9.8","7.1","4.8"
,"2020","21.5","12.4","8.8"
,"2021","15.1","11.8","6.8"
,"2022","8.5","6.5","4.4"
,"2023","9.1","6.7","4.0"
"Postsecondary certificate or diploma 10","2019","6.7","4.4","4.6"
,"2020","14.7","8.2","7.4"
,"2021","9.4","6.3","6.8"
,"2022","6.7","4.1","4.3"
,"2023","6.4","4.3","4.0"
"University degree 11","2019","8.0","4.2","3.6"
,"2020","17.2","6.7","5.8"
,"2021","10.1","4.7","5.0"
,"2022","7.7","3.7","3.6"
,"2023","8.6","4.1","3.7"
"Bachelor's degree","2019","7.7","4.1","3.8"
,"2020","17.1","6.6","6.3"
,"2021","10.3","4.9","5.2"
,"2022","7.6","3.8","3.7"
,"2023","8.5","4.2","3.7"
"Above bachelor's degree","2019","10.3","4.4","3.2"
,"2020","18.8","6.9","4.7"
,"2021","8.3","4.2","4.8"
,"2022","8.8","3.5","3.3"
,"2023","9.3","4.0","3.6"




Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,"Starting in 2006, enhancements to the Labour Force Survey data processing system may have introduced a level shift in some estimates, particularly for less common labour force characteristics. Use caution when comparing estimates before and after 2006. For more information, contact statcan.labour-travail.statcan@statcan.gc.ca"
3,"Excluding the territories."
4,"The following categories refer to the highest level of schooling completed. Questions relating to educational attainment were changed in 1990, to better capture the relationship between educational attainment and labour market outcomes. Because this introduced a break in the education series, this table only contains data from 1990 onwards. Beginning January 1990, data on primary and secondary education reflects the highest grade completed. This provides a more consistent measure for those who accelerate or fail a grade than did years of school. A question on high school graduation has also been added since it is generally believed that persons who have never completed their secondary education have greater difficulty competing in the labour market. With the new questions, any education that could be counted towards a degree, certificate or diploma from an educational institution is taken as postsecondary education. The change allows more persons into the postsecondary education category. For example, trades programs offered through apprenticeship, vocational schools or private trade schools do not always require high school graduation. Such education is now considered as postsecondary while only primary or secondary would have been recognized prior to 1990. Finally, more information is collected on the type of postsecondary education: 1) some postsecondary; 2) trades certificate or diploma from a vocational or apprenticeship training; 3) non-university certificate or diploma from a community college, CEGEP or school of nursing; 4) university certificate below bachelors degree; 5) bachelors degree; and 6) university degree or certificate above bachelors degree.
"
5,"The unemployment rate is the number of unemployed persons expressed as a percentage of the labour force. The unemployment rate for a particular group (age, sex, marital status, etc.) is the number unemployed in that group expressed as a percentage of the labour force for that group. Estimates are percentages, rounded to the nearest tenth."
6,"Primary education, grade 8 or lower. In Quebec, secondary II or lower."
7,"Attended but did not complete secondary school. In Quebec, attended at least Secondary III but did not complete Secondary V. In Newfoundland and Labrador, attended at least the first year of secondary but did not complete the fourth year."
8,"Received a high school diploma. In Quebec, completed Secondary V. In Newfoundland and Labrador, completed fourth year of secondary."
9,"Worked toward, but did not complete, a degree, certificate (including a trade certificate) or diploma from an educational institution, including a university, beyond the secondary level. This includes vocational schools, apprenticeship training, community college, Collège d'Enseignement Général et Professionnel (CEGEP), and school of nursing."
10,"Completed a certificate (including a trade certificate) or diploma from an educational institution beyond the secondary level. This includes certificates from vocational schools, apprenticeship training, community college, Collège d'Enseignement Général et Professionnel (CEGEP), and school of nursing. Also included are certificates below a Bachelor's degree obtained at a university."
11,"Attained at least a university bachelor's degree."



"How to cite: Statistics Canada. Table 14-10-0020-01  Unemployment rate, participation rate and employment rate by educational attainment, annual"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410002001
